domain	added	reason
www.google.com.bo	2026-09-07	CSP-strip target (rule 33)
www.google.com.pa	2026-09-07	CSP-strip target (rule 33)
www.google.com.ec	2026-09-07	CSP-strip target (rule 33)
www.google.com.do	2026-09-07	CSP-strip target (rule 33)
www.google.co	2026-09-07	CSP-strip target (rule 33)
www.google.com.lb	2026-09-07	CSP-strip target (rule 33)
www.google.com.jo	2026-09-07	CSP-strip target (rule 33)
www.google.com.qa	2026-09-07	CSP-strip target (rule 33)
www.google.com.kw	2026-09-07	CSP-strip target (rule 33)
www.google.com.om	2026-09-07	CSP-strip target (rule 33)
www.google.com.bh	2026-09-07	CSP-strip target (rule 33)
www.google.com.ae	2026-09-07	CSP-strip target (rule 33)
www.google.com.cu	2026-09-07	CSP-strip target (rule 33)
www.google.com.gi	2026-09-07	CSP-strip target (rule 33)
www.google.com.gg	2026-09-07	CSP-strip target (rule 33)
www.google.com.im	2026-09-07	CSP-strip target (rule 33)
www.google.com.je	2026-09-07	CSP-strip target (rule 33)
www.google.com.mt	2026-09-07	CSP-strip target (rule 33)
www.google.com.uz	2026-09-07	CSP-strip target (rule 33)
www.google.com.kz	2026-09-07	CSP-strip target (rule 33)
www.google.com.by	2026-09-07	CSP-strip target (rule 33)
www.google.com.md	2026-09-07	CSP-strip target (rule 33)
www.google.com.lv	2026-09-07	CSP-strip target (rule 33)
www.google.com.lt	2026-09-07	CSP-strip target (rule 33)
www.google.com.mk	2026-09-07	CSP-strip target (rule 33)
www.google.com.rs	2026-09-07	CSP-strip target (rule 33)
www.google.com.hr	2026-09-07	CSP-strip target (rule 33)
www.google.com.si	2026-09-07	CSP-strip target (rule 33)
www.google.com.bg	2026-09-07	CSP-strip target (rule 33)
www.google.com.ro	2026-09-07	CSP-strip target (rule 33)
www.google.com.ua	2026-09-07	CSP-strip target (rule 33)
www.google.com.am	2026-09-07	CSP-strip target (rule 33)
www.google.com.ge	2026-09-07	CSP-strip target (rule 33)
www.google.com.lu	2026-09-07	CSP-strip target (rule 33)
www.google.hu	2026-09-07	CSP-strip target (rule 33)
www.google.se	2026-09-07	CSP-strip target (rule 33)
www.google.com.py	2026-09-07	CSP-strip target (rule 33)
www.google.co.ma	2026-09-07	CSP-strip target (rule 33)
www.google.pl	2026-09-07	CSP-strip target (rule 33)
www.google.gr	2026-09-07	CSP-strip target (rule 33)
www.google.ch	2026-09-07	CSP-strip target (rule 33)
www.google.tt	2026-09-07	CSP-strip target (rule 33)
www.google.com.bd	2026-09-07	CSP-strip target (rule 33)
www.google.fi	2026-09-07	CSP-strip target (rule 33)
www.google.mg	2026-09-07	CSP-strip target (rule 33)
www.google.ad	2026-09-07	CSP-strip target (rule 33)
www.google.com.eg	2026-09-07	CSP-strip target (rule 33)
www.google.co.il	2026-09-07	CSP-strip target (rule 33)
www.google.ie	2026-09-07	CSP-strip target (rule 33)
www.google.co-th	2026-09-07	CSP-strip target (rule 33)
www.google.bg	2026-09-07	CSP-strip target (rule 33)
www.google.at	2026-09-07	CSP-strip target (rule 33)
www.google.nl	2026-09-07	CSP-strip target (rule 33)
www.google.cz	2026-09-07	CSP-strip target (rule 33)
www.google.is	2026-09-07	CSP-strip target (rule 33)
www.google.ht	2026-09-07	CSP-strip target (rule 33)
www.google.com.np	2026-09-07	CSP-strip target (rule 33)
www.google.com.vn	2026-09-07	CSP-strip target (rule 33)
www.google.ee	2026-09-07	CSP-strip target (rule 33)
www.google.co.cr	2026-09-07	CSP-strip target (rule 33)
www.google.sk	2026-09-07	CSP-strip target (rule 33)
www.google.no	2026-09-07	CSP-strip target (rule 33)
www.google.pt	2026-09-07	CSP-strip target (rule 33)
www.google.lt	2026-09-07	CSP-strip target (rule 33)
www.google.co.kr	2026-09-07	CSP-strip target (rule 33)
www.google.com.mm	2026-09-07	CSP-strip target (rule 33)
www.google.com.jm	2026-09-07	CSP-strip target (rule 33)
www.google.dk	2026-09-07	CSP-strip target (rule 33)
www.google.be	2026-09-07	CSP-strip target (rule 33)
www.google.lk	2026-09-07	CSP-strip target (rule 33)
www.google.com.cy	2026-09-07	CSP-strip target (rule 33)
www.google.kg	2026-09-07	CSP-strip target (rule 33)
www.google.co.ao	2026-09-07	CSP-strip target (rule 33)
www.google.dz	2026-09-07	CSP-strip target (rule 33)
www.google.mw	2026-09-07	CSP-strip target (rule 33)
www.google.com.gh	2026-09-07	CSP-strip target (rule 33)
www.google.com.ng	2026-09-07	CSP-strip target (rule 33)
www.google.com.cn	2026-09-07	CSP-strip target (rule 33)
www.google.com.sv	2026-09-07	CSP-strip target (rule 33)
www.google.com.gt	2026-09-07	CSP-strip target (rule 33)
www.google.hn	2026-09-07	CSP-strip target (rule 33)
www.google.co.ke	2026-09-07	CSP-strip target (rule 33)
www.google.la	2026-09-07	CSP-strip target (rule 33)
www.google.co.ls	2026-09-07	CSP-strip target (rule 33)
www.google.com.ly	2026-09-07	CSP-strip target (rule 33)
www.google.li	2026-09-07	CSP-strip target (rule 33)
www.google.mv	2026-09-07	CSP-strip target (rule 33)
www.google.ml	2026-09-07	CSP-strip target (rule 33)
www.google.mu	2026-09-07	CSP-strip target (rule 33)
www.google.mc	2026-09-07	CSP-strip target (rule 33)
www.google.mn	2026-09-07	CSP-strip target (rule 33)
www.google.me	2026-09-07	CSP-strip target (rule 33)
www.google.co.mz	2026-09-07	CSP-strip target (rule 33)
www.google.com.na	2026-09-07	CSP-strip target (rule 33)
www.google.co.nz	2026-09-07	CSP-strip target (rule 33)
www.google.com.pg	2026-09-07	CSP-strip target (rule 33)
www.google.com.pr	2026-09-07	CSP-strip target (rule 33)
www.google.rw	2026-09-07	CSP-strip target (rule 33)
www.google.sm	2026-09-07	CSP-strip target (rule 33)
www.google.sn	2026-09-07	CSP-strip target (rule 33)
www.google.sc	2026-09-07	CSP-strip target (rule 33)
www.google.sl	2026-09-07	CSP-strip target (rule 33)
www.google.sb	2026-09-07	CSP-strip target (rule 33)
www.google.so	2026-09-07	CSP-strip target (rule 33)
www.google.sd	2026-09-07	CSP-strip target (rule 33)
www.google.sr	2026-09-07	CSP-strip target (rule 33)
www.google.sy	2026-09-07	CSP-strip target (rule 33)
www.google.com.tj	2026-09-07	CSP-strip target (rule 33)
www.google.co.tz	2026-09-07	CSP-strip target (rule 33)
www.google.tg	2026-09-07	CSP-strip target (rule 33)
www.google.to	2026-09-07	CSP-strip target (rule 33)
www.google.tn	2026-09-07	CSP-strip target (rule 33)
www.google.tm	2026-09-07	CSP-strip target (rule 33)
www.google.tv	2026-09-07	CSP-strip target (rule 33)
www.google.co.ug	2026-09-07	CSP-strip target (rule 33)
www.google.vu	2026-09-07	CSP-strip target (rule 33)
www.google.va	2026-09-07	CSP-strip target (rule 33)
www.google.com.ye	2026-09-07	CSP-strip target (rule 33)
www.google.co.zm	2026-09-07	CSP-strip target (rule 33)
www.google.co.zw	2026-09-07	CSP-strip target (rule 33)
