domain	added	reason
google.sb	2026-09-07	scriptlet/CSS exempt when injection ON
google.so	2026-09-07	scriptlet/CSS exempt when injection ON
google.sd	2026-09-07	scriptlet/CSS exempt when injection ON
google.sr	2026-09-07	scriptlet/CSS exempt when injection ON
google.sy	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.tj	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.tz	2026-09-07	scriptlet/CSS exempt when injection ON
google.tg	2026-09-07	scriptlet/CSS exempt when injection ON
google.to	2026-09-07	scriptlet/CSS exempt when injection ON
google.tn	2026-09-07	scriptlet/CSS exempt when injection ON
google.tm	2026-09-07	scriptlet/CSS exempt when injection ON
google.tv	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.ug	2026-09-07	scriptlet/CSS exempt when injection ON
google.vu	2026-09-07	scriptlet/CSS exempt when injection ON
google.va	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.ye	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.zm	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.zw	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.fr	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.uk	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ca	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.de	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.it	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.es	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.au	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.in	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.jp	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ru	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.br	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.mx	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.za	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.sg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.hk	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.tw	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.my	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.id	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ph	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.pk	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.sa	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.tr	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ar	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.cl	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.pe	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ve	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.co	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ni	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.uy	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.bo	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.pa	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ec	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.do	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.lb	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.jo	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.qa	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.kw	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.om	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.bh	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ae	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.cu	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.gi	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.gg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.im	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.je	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.mt	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.uz	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.kz	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.by	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.md	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.lv	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.lt	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.mk	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.rs	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.hr	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.si	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.bg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ro	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ua	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.am	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.ge	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.lu	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.hu	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.se	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.py	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.ma	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.pl	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.gr	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ch	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.tt	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.bd	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.fi	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.mg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ad	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.eg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.il	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ie	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co-th	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.bg	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.at	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.nl	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.cz	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.is	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ht	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.np	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.com.vn	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.ee	2026-09-07	scriptlet/CSS exempt when injection ON
www.google.co.cr	2026-09-07	scriptlet/CSS exempt when injection ON
